Make,Model,Price,Year,Kilometer,Fuel,Transmission,Location,Color,Owner,Seller,Engine,Power,Torque,Drivetrain,Length,Width,Height,Seats,Tank
Honda,Amaze 1.5 S i-DTEC,4250,2014,75000,Diesel,Manual,Amritsar,Brown,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990,1680,1505,5,35
Maruti Suzuki,Swift VDi,4250,2015,36528,Diesel,Manual,Varanasi,Blue,Third,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850,1695,1530,5,42
Nissan,Terrano XE (D),4250,2014,74000,Diesel,Manual,Gurgaon,Silver,Second,Individual,1461,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4331,1822,1671,5,50
Maruti Suzuki,Swift DZire VDI,4250,2014,89000,Diesel,Manual,Lucknow,White,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Honda,Amaze 1.2 S i-VTEC,4250,2014,58600,Petrol,Manual,Pune,Red,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35
Tata,Safari 2.2 EX 4x2,4250,2013,96000,Diesel,Manual,Ambala Cantt,White,First,Individual,2179,138 bhp @ 4000 rpm,320 Nm @ 1700 rpm,RWD,4655,1965,1922,7,55
Renault,Kwid 1.0 RXT AMT Opt,4269.99,2020,41669,Petrol,Automatic,Zirakpur,Others,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Volkswagen,Vento Comfortline Petrol,4300,2015,98112,Petrol,Manual,Mumbai,Brown,First,Individual,1598,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4384,1699,1466,5,55
Maruti Suzuki,S-Presso VXi,4300,2020,5790,Petrol,Manual,Hyderabad,Silver,First,Individual,998,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,3565,1520,1564,5,27
Maruti Suzuki,Wagon R LXI CNG (O),4300,2016,26600,CNG,Manual,Pune,Brown,First,Individual,998,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Maruti Suzuki,Alto VXi AMT,4300,2019,57993,Petrol,Automatic,Hyderabad,White,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3545,1490,1475,5,35
Maruti Suzuki,Swift DZire VXI,4300,2014,59000,Petrol,Manual,Guwahati,Blue,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Maruti Suzuki,Celerio X Vxi AMT [2017-2019],4340,2017,50000,Petrol,Automatic,Dehradun,White,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715,1635,1565,5,35
Ford,Aspire Titanium 1.2 Ti-VCT,4349.99,2017,23000,Petrol,Manual,Delhi,White,First,Individual,1196,87 bhp @ 6300 rpm,112 Nm @ 4000 rpm,FWD,3995,1695,1525,5,42
Hyundai,Xcent SX CRDi,4349.99,2017,27000,Diesel,Manual,Kolkata,White,Second,Individual,1186,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995,1660,1520,5,43
Hyundai,Santro Sportz AMT [2018-2020],4349.99,2019,34400,Petrol,Automatic,Ranchi,Silver,First,Individual,1086,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,3610,1645,1560,5,35
Volkswagen,Vento Comfortline Diesel,4349.99,2014,79081,Diesel,Manual,Delhi,Grey,First,Individual,1598,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD,4384,1699,1466,5,55
Mahindra,Scorpio SLE BS-IV,4349.99,2013,117000,Diesel,Manual,Kanpur,White,First,Individual,2179,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430,1817,1975,8,60
Honda,Amaze 1.2 VX AT i-VTEC,4349.99,2014,50000,Petrol,Automatic,Mumbai,White,First,Individual,1199,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3990,1680,1505,5,35
Toyota,Etios 1.2 G,4349.99,2015,32545,Petrol,Manual,Kolkata,Silver,First,Individual,1197,79 bhp @ 5600 rpm,104 Nm @ 3100 rpm,FWD,3895,1735,1555,5,45
Renault,Kwid RXT [2015-2019],4349.99,2019,32000,Petrol,Manual,Mysore,Grey,First,Individual,799,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679,1579,1478,5,28
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],4360,2014,37959,Petrol,Automatic,Delhi,White,Second,Individual,1197,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Honda,Brio S MT,4400,2016,50374,Petrol,Manual,Vadodara,White,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610,1680,1500,5,35
Maruti Suzuki,Swift LXi,4400,2016,53807,Petrol,Manual,Gurgaon,White,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Honda,Amaze 1.2 SX i-VTEC,4450,2016,63882,Petrol,Manual,Mumbai,Bronze,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],4450,2016,22402,Petrol,Manual,Mumbai,Grey,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Ford,Ecosport Ambiente 1.5L TDCi,4450,2014,38985,Diesel,Manual,Noida,Silver,First,Individual,1498,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998,1765,1647,5,52
Hyundai,Xcent E Plus CRDi,4450,2018,65555,Diesel,Manual,Varanasi,White,Second,Individual,1186,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995,1660,1520,5,43
Maruti Suzuki,Wagon R LXI CNG (O),4450,2015,67580,CNG,Manual,Pune,White,First,Individual,998,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Maruti Suzuki,Celerio ZXi [2017-2019],4450,2018,71000,Petrol,Manual,Ludhiana,White,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600,1600,1560,5,35
Honda,City 1.5 V MT,4450,2012,111000,Petrol,Manual,Ernakulam,Red,First,Individual,1497,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440,1695,1485,5,42
Nissan,Terrano XL D Plus,4450,2014,75000,Diesel,Manual,Delhi,White,First,Individual,1461,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4331,1822,1671,5,50
Maruti Suzuki,Alto 800 LXi (O),4490,2019,3583,Petrol,Manual,Bangalore,Grey,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3445,1515,1475,5,35
Tata,Tiago Revotron XZ,4490,2018,53512,Petrol,Manual,Hyderabad,Orange,Second,Individual,1199,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746,1647,1535,5,35
Maruti Suzuki,Swift DZire VDI,4500,2014,75000,Diesel,Manual,Ludhiana,White,Second,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Nissan,Terrano XL D Plus,4500,2014,85000,Diesel,Manual,Hyderabad,Silver,Second,Individual,1461,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4331,1822,1671,5,50
Maruti Suzuki,Swift Lxi (O) [2014-2017],4500,2016,45000,Petrol,Manual,Delhi,White,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Honda,City E [2013-2016],4500,2014,48409,Petrol,Manual,Ranchi,White,Second,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],4500,2016,53300,Petrol,Manual,Pune,Maroon,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Ford,Aspire Titanium1.5 TDCi,4500,2016,44613,Diesel,Manual,Ranchi,Silver,First,Individual,1498,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD,3995,1695,1525,5,40
Honda,City 1.5 S MT,4500,2013,61000,Petrol,Manual,Delhi,Maroon,First,Individual,1497,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440,1695,1485,5,42
Maruti Suzuki,Swift DZire VXI,4500,2017,75000,Petrol,Manual,Kanpur,White,First,Commercial Registration,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Toyota,Corolla Altis 1.8 VL AT,4500,2011,95000,Petrol,Automatic,Mumbai,White,First,Individual,1794,132@6000,170@4200,FWD,4540,1760,1480,5,55
Hyundai,i20 Magna (O) 1.2,4500,2014,23000,Petrol,Manual,Ahmedabad,Brown,First,Individual,1197,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995,1710,1505,5,45
Renault,Duster 110 PS RXZ 4X2 MT Diesel,4500,2016,2000000,Diesel,Manual,Ranchi,White,First,Individual,1461,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4315,1822,1695,5,50
Maruti Suzuki,Swift LXi,4500,2017,65000,Petrol,Manual,Kanpur,Grey,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Maruti Suzuki,Eeco 7 STR [2019-2020],4500,2018,32000,Petrol,Manual,Udupi,White,Second,Individual,1196,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675,1475,1800,7,40
Maruti Suzuki,Swift VXi [2014-2017],4500,2016,48200,Petrol,Manual,Dehradun,Silver,Second,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Mahindra,Scorpio VLX 2WD Airbag BS-IV,4500,2011,95000,Diesel,Manual,Chandigarh,White,First,Individual,2179,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430,1817,1975,8,60
Maruti Suzuki,Wagon R VXi (O),4500,2018,43000,Petrol,Manual,Allahabad,White,First,Individual,998,67.7 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636,1475,1670,5,35
Maruti Suzuki,Swift DZire VXI,4500,2014,52000,Petrol,Manual,Delhi,Silver,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],4500,2016,47000,Petrol,Manual,Dehradun,Grey,Second,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Maruti Suzuki,Celerio ZXi AMT [2019-2020],4500,2014,48000,Petrol,Automatic,Mumbai,Silver,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695,1600,1560,5,35
Maruti Suzuki,Swift DZire VXI,4500,2015,52000,Petrol,Manual,Roorkee,White,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Hyundai,Xcent S 1.1 CRDi Special Edition,4510,2017,55000,Diesel,Manual,Ahmedabad,White,First,Individual,1120,71 bhp @ 4000 rpm,180 Nm @ 1750 rpm,FWD,3995,1660,1520,5,43
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],4550,2015,69700,Petrol,Automatic,Mumbai,Blue,First,Individual,1197,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Ford,Ecosport Trend 1.5 Ti-VCT,4550,2014,50000,Petrol,Manual,Delhi,White,Second,Individual,1499,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999,1765,1708,5,52
Maruti Suzuki,Swift DZire VXI,4550,2014,30183,Petrol,Manual,Mumbai,Grey,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Renault,Kwid 1.0 RXT [2016-2019],4599.99,2018,22541,Petrol,Manual,Bangalore,Grey,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],4599.99,2016,61223,Petrol,Manual,Kanpur,White,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Hyundai,Grand i10 Sportz U2 1.2 CRDi,4599.99,2016,82844,Diesel,Manual,Hyderabad,Grey,First,Individual,1186,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3765,1660,1520,5,43
Maruti Suzuki,Ertiga VDi,4599.99,2013,77000,Diesel,Manual,Ludhiana,White,Second,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265,1695,1685,7,45
Hyundai,Verna Fluidic 1.6 CRDi SX,4599.99,2013,78000,Diesel,Manual,Ahmedabad,White,Second,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370,1700,1475,5,43
Maruti Suzuki,Swift DZire VDI,4599.99,2015,55000,Diesel,Manual,Dehradun,Silver,Second,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Honda,Amaze 1.2 VX AT i-VTEC,4650,2014,29442,Petrol,Automatic,Mumbai,Silver,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35
Maruti Suzuki,Swift ZXi,4650,2014,25704,Petrol,Manual,Mumbai,Red,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Hyundai,Santro Sportz AMT [2018-2020],4650,2019,19000,Petrol,Automatic,Kolkata,Gold,First,Individual,1086,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,3610,1645,1560,5,35
Maruti Suzuki,Swift VXi,4650,2014,75000,Petrol,Manual,Mohali,White,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Ford,Figo Trend 1.5L TDCi [2015-2016],4650,2015,89000,Diesel,Manual,Jaipur,Orange,Second,Individual,1498,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD,3886,1695,1525,5,40
Hyundai,Santro Sportz CNG [2018-2020],4650,2019,28000,CNG,Manual,Delhi,White,First,Individual,1086,58 bhp @ 5500 rpm,84 Nm @ 4500 rpm,FWD,3610,1645,1560,5,60
Maruti Suzuki,Swift DZire VXI,4650,2014,65000,Petrol,Manual,Ahmedabad,White,Second,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Toyota,Etios VXD,4650,2014,82000,Diesel,Manual,Ludhiana,Silver,First,Individual,1364,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,4265,1695,1510,5,45
Maruti Suzuki,S-Presso VXi AMT,4700,2020,2169,Petrol,Automatic,Mumbai,Grey,First,Individual,998,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,3565,1520,1564,5,27
Renault,Kwid 1.0 RXT AMT Opt,4700,2019,11183,Petrol,Automatic,Mumbai,Silver,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Hyundai,Verna Fluidic 1.6 CRDi SX,4700,2013,66000,Diesel,Manual,Amritsar,Grey,Third,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370,1700,1475,5,43
Maruti Suzuki,Swift DZire VXI,4700,2016,74000,Petrol,Manual,Ranchi,White,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Tata,Tiago Revotron XZA [2017-2019],4750,2017,34867,Petrol,Automatic,Mumbai,Silver,Second,Individual,1199,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746,1647,1535,5,35
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],4750,2014,61866,Petrol,Automatic,Thane,White,First,Individual,1197,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Honda,Mobilio S Diesel,4750,2015,72000,Diesel,Manual,Agra,White,Second,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4386,1683,1603,7,42
Maruti Suzuki,Swift DZire VDI,4750,2016,55353,Diesel,Manual,Kanpur,Grey,Second,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Chevrolet,Cruze LTZ AT,4750,2014,73265,Diesel,Automatic,Delhi,White,Second,Individual,1998,164 bhp @ 3800 rpm,380 Nm @ 2000 rpm,FWD,4597,1788,1477,5,60
Honda,Amaze 1.2 S i-VTEC,4750,2014,65000,Petrol,Manual,Coimbatore,Silver,Second,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35
Maruti Suzuki,Celerio ZXi [2019-2020],4750,2019,25000,Petrol,Manual,Muzaffurpur,Grey,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695,1600,1560,5,35
Honda,City 1.5 V AT,4750,2012,40000,Petrol,Automatic,Pune,Red,Second,Individual,1497,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440,1695,1485,5,42
Maruti Suzuki,S-Presso VXi,4750,2021,7942,Petrol,Manual,Thane,Red,First,Individual,998,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,3565,1520,1564,5,27
Hyundai,Verna Fluidic 1.6 VTVT SX Opt AT,4750,2014,72900,Petrol,Automatic,Mumbai,Blue,Second,Individual,1591,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370,1700,1475,5,43
Honda,Accord 2.4 AT,4750,2011,72000,Petrol,Automatic,Delhi,Gold,First,Individual,2354,178 bhp @ 6500 rpm,222 Nm @ 4300 rpm,FWD,4950,1845,1475,5,70
Ford,Ecosport Ambiente 1.5L Ti-VCT,4750,2016,69001,Petrol,Manual,Delhi,White,First,Individual,1499,110 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999,1765,1708,5,52
Hyundai,Verna Fluidic 1.6 VTVT SX,4750,2014,62000,Petrol,Manual,Delhi,Silver,First,Individual,1591,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370,1700,1475,5,43
Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],4750,2016,16630,Petrol,Manual,Mumbai,Maroon,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Maruti Suzuki,Baleno Sigma 1.2,4750,2015,48000,Petrol,Manual,Navi Mumbai,Grey,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
Ford,Ecosport Trend 1.5 TDCi,4800,2014,115000,Diesel,Manual,Pune,White,First,Individual,1498,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,3999,1765,1708,5,52
Honda,Amaze 1.2 S i-VTEC Opt,4800,2016,50000,Petrol,Manual,Guwahati,White,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35
Maruti Suzuki,Swift DZire LDI,4800,2016,85000,Diesel,Manual,Lucknow,White,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Maruti Suzuki,Alto 800 Lxi CNG,4800,2021,14000,CNG,Manual,Mohali,Grey,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],4800,2019,10265,Petrol,Manual,Hyderabad,Grey,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Honda,City V,4800,2015,49000,Petrol,Manual,Kolkata,Grey,First,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Volkswagen,Polo Highline1.2L (D),4849.99,2013,78000,Diesel,Manual,Bangalore,White,Second,Individual,1199,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD,3970,1682,1453,5,45
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],4849.99,2018,55221,Petrol,Manual,Mumbai,White,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Hyundai,Verna EX 1.6 CRDi [2017-2018],4849.99,2013,87000,Diesel,Manual,Ludhiana,White,First,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4440,1729,1475,5,45
Hyundai,Verna Fluidic 1.6 CRDi SX,4849.99,2013,107000,Diesel,Manual,Chandigarh,White,First,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370,1700,1475,5,43
Mahindra,XUV500 W8,4849.99,2012,102000,Diesel,Manual,Mumbai,Grey,Second,Individual,2179,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585,1890,1785,7,70
Tata,Tiago Revotron XTA [2017-2019],4849.99,2018,35000,Petrol,Automatic,Patna,Blue,First,Individual,1199,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746,1647,1535,5,35
Toyota,Etios Liva VD Dual Tone,4849.99,2017,86006,Diesel,Manual,Gurgaon,White,First,Individual,1364,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,3884,1695,1510,5,45
Maruti Suzuki,Baleno Delta 1.2,4849.99,2018,62000,Petrol,Manual,Faridabad,Silver,Second,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
Maruti Suzuki,Celerio X Zxi AMT [2017-2019],4849.99,2018,44000,Petrol,Automatic,Delhi,Grey,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715,1635,1565,5,35
Tata,Tigor Revotorq XT,4900,2018,43000,Diesel,Manual,Patna,White,First,Individual,1047,69 bhp @ 4000 rpm,140 Nm @ 1800 rpm,FWD,3992,1677,1537,5,35
Hyundai,Xcent S 1.2 (O),4900,2015,23103,Petrol,Manual,Udupi,White,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1660,1520,5,43
Renault,Duster 85 PS RxL,4900,2015,98000,Diesel,Manual,Jamshedpur,White,Second,Individual,1461,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4315,1822,1695,5,50
Nissan,Micra XV CVT [2016-2017],4900,2014,56918,Petrol,Automatic,Coimbatore,Blue,Second,Individual,1198,76 bhp @ 6000 rpm,104 Nm @ 4400 rpm,FWD,3825,1665,1530,5,41
Volkswagen,Polo Highline1.2L (P),4900,2015,50000,Petrol,Manual,Delhi,White,First,Individual,1198,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3971,1682,1469,5,45
Maruti Suzuki,Baleno Sigma 1.2,4900,2017,82000,Petrol,Manual,Ahmedabad,White,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
Hyundai,Xcent S 1.2,4900,2018,66000,Petrol,Manual,Ahmedabad,White,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1660,1520,5,43
Renault,Kwid 1.0 RXT AMT Opt,4900,2019,32000,Petrol,Automatic,Coimbatore,Bronze,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Toyota,Corolla Altis 1.8 G,4930,2012,28732,Petrol,Manual,Zirakpur,Silver,First,Individual,1798,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4540,1760,1480,5,55
Maruti Suzuki,Swift ZDi,4950,2017,38258,Diesel,Manual,Varanasi,White,Second,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840,1735,1530,5,37
Maruti Suzuki,Swift DZire VXI,4950,2015,13716,Petrol,Manual,Pune,Silver,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Honda,Jazz SV Petrol,4950,2015,52000,Petrol,Manual,Noida,Brown,First,Individual,1199,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955,1694,1544,5,40
Hyundai,Verna 1.6 VTVT S,4950,2015,42000,Petrol,Manual,Kolkata,Red,First,Individual,1591,121 bhp @ 6300 rpm,155 Nm @ 4200 rpm,FWD,4375,1700,1475,5,43
Hyundai,Grand i10 Asta 1.2 Kappa VTVT,4950,2017,47000,Petrol,Manual,Delhi,Silver,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Hyundai,Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],4950,2017,30000,Petrol,Manual,Delhi,Orange,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Honda,City 1.5 V AT,4950,2012,65001,Petrol,Automatic,Pune,Red,First,Individual,1497,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440,1695,1485,5,42
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],4950,2018,45000,Petrol,Manual,Mumbai,White,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Mercedes-Benz,C-Class 220 CDI Elegance AT,4950,2008,95200,Diesel,Automatic,Mumbai,Grey,First,Corporate,2148,170@3700,410@2000,RWD,4581,1770,1447,5,66
Hyundai,Santro Sportz CNG [2018-2020],4950,2019,46000,CNG,Manual,Agra,Silver,First,Individual,1086,58 bhp @ 5500 rpm,84 Nm @ 4500 rpm,FWD,3610,1645,1560,5,60
Mahindra,KUV100 K6 D 6 STR [2016-2017],4950,2016,53376,Diesel,Manual,Bangalore,Orange,First,Individual,1198,77 bhp @ 3750 rpm,190 Nm @ 1750 rpm,FWD,3675,1715,1655,6,35
Skoda,Rapid 1.5 TDI CR Ambition Plus AT,4990,2014,88000,Diesel,Automatic,Pune,Black,Second,Individual,1498,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD,4386,1699,1466,5,55
Honda,City E Diesel,4990,2014,140000,Diesel,Manual,Hyderabad,White,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40
Honda,City 1.5 S MT,4990,2012,96506,Petrol,Manual,Bangalore,Silver,Second,Individual,1497,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440,1695,1485,5,42
Maruti Suzuki,Swift VDi,5000,2017,140000,Diesel,Manual,Warangal,Grey,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850,1695,1530,5,42
Maruti Suzuki,Celerio X Zxi AMT [2017-2019],5000,2017,32000,Petrol,Automatic,Chennai,Orange,Second,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715,1635,1565,5,35
